κ_m,κ_2
0.3219725209117372,0.10091030898295107
0.31272324003977037,0.1006662805167654
0.3122833031293275,0.10067725478568208
0.33782047262460646,0.10471347962078104
0.30539893374992944,0.09970647342737816
0.34206115277671023,0.105079259171589
0.37910478472978915,0.11057962098061061
0.4052134051517682,0.10990340982876999
0.40942293439296795,0.11040187589174794
0.3395065123565887,0.10535126125606867
0.3395065123565887,0.10535126125606867
0.3144201391424567,0.10068159736066391
0.3852134265765094,0.11212203459730254
0.38608697566019684,0.10972424575078848
0.3502590940103175,0.1064025511105827
0.3662553098623699,0.10929703800943587
0.3576145971134316,0.11045212881077743
0.34147416760491534,0.10469373230096789
0.3406831563574494,0.10735547482145265
0.2736665189855778,0.09763578016792171
0.2769712901808197,0.0953782376241758
0.27816439756758604,0.09340236226806278
0.2739030612505247,0.09737635926338153
0.27025150057351865,0.09938443475324873
0.2902403267927324,0.09410521849434869
0.27734881188767946,0.0955853498797507
0.3380948912863604,0.1050655215720501
0.34554465409798246,0.10203735634792864
0.2966126453484672,0.10325870350298906
0.36894219218283486,0.1073157332657611
0.3663787730214372,0.10670273252958748
0.35521844224773114,0.10923202025095749
0.2910544398625282,0.09947534550775997
0.30409647463871425,0.0999409100045354
0.307704418423963,0.1010625260809776
0.3207369169199001,0.10298214004941371
0.35401201561047463,0.10742859462548586
0.3508109885874761,0.10399095876009253
0.2742650476110531,0.09234303410392165
0.2747125910825173,0.09369320434212992
0.2715446174989683,0.09388243524935758
0.26333688641733394,0.09404041622746986
0.37497508834212057,0.10854593747866731
0.3705483441669484,0.10870237287333806
0.29151718108058094,0.09683820589019147
0.30537855468798525,0.09532270822309791
0.34864509679198863,0.10242137843987852
0.3384458502605606,0.11102871171508953
0.37431634550864396,0.11091158029255464
0.3188988656947175,0.1032142897187804
0.28444739021308885,0.09873224680441091
0.25027667329644887,0.08885587904851325
0.2670800172447435,0.09497859297257429
0.26844744622777295,0.09593774967381727
0.2610439955189747,0.09147321504268432
0.2592990669821713,0.09156667008011717
0.27125397048391847,0.096144467539685
0.30742917107578493,0.10203431465754617
0.27449886730503714,0.09470030799429292
0.27537242857120575,0.09501702838325894
0.31160586301208587,0.09988873946254694
0.29849590499543466,0.10257348486885426
0.32137777673107476,0.10553412076329029
0.33560744255820857,0.10369432653505666
0.3565441049893061,0.1077592851665537
0.3692468089886469,0.10838781735251118
0.35025417901607686,0.10961587064132304
0.3173366340936951,0.10520915774991856
0.34372251722803615,0.10245079815220397
0.34372251722803615,0.10245079815220397
0.35020939450245564,0.10499866368102564
0.3836704026273249,0.11119814467033652
0.38569899178854283,0.11079853664635994
0.37596089001620886,0.1088690470461197
0.3715754690092327,0.10718599136607632
0.26654587263257656,0.09205299501706649
0.32451473654420687,0.10584040146474435
0.29280220482871916,0.09685805752529443
0.26326444949649225,0.092498321467631
0.3042008097401555,0.09994408181053048
0.32414906454190634,0.09786068346315142
0.2900725641176316,0.09785408037788434
0.2729739298505381,0.09555320401983187
0.3317086024003209,0.10402052583206585
0.3591015791134276,0.1080445062147341
0.3600873374476482,0.10904222462681962
0.35263482284169356,0.10422406367735246
0.3522141070482085,0.10688725173507173
0.334678823012031,0.1033943642855126
0.31137498834473676,0.09974599154219366
0.321130380165391,0.09885078661334586
0.321130380165391,0.09885078661334586
0.33672172724489513,0.10465408839618805
0.3049528843415113,0.0980834044875347
0.3428214304551197,0.1041062440842087
0.3281529606045486,0.1004608400888906
0.3185241862089068,0.10208581726718947
0.34004712698748474,0.10712599125064204
0.38729878654776584,0.11397760392799858
0.37304389382882375,0.10898213535789592
0.36611311614183256,0.10975874968801648
0.33233922824319156,0.10384554486838735
0.33233922824319156,0.10384554486838735
0.335558238146069,0.10262921553438174
0.3336680088053995,0.10526916624755601
0.2764139461980219,0.09580872989062093
0.278801497576696,0.0956501031037554
0.3612109423513449,0.1078732194720056
0.3438347656012807,0.1070438631464293
