κ_m,κ_2
0.3003563386309011,0.10098131197900603
0.3198536275058753,0.102578012753086
0.32039494690512277,0.10305288040693596
0.35602866440218217,0.10871558658119203
0.311726952588234,0.10104234335482348
0.2998706570856584,0.09969627751942815
0.29162229506305565,0.09975108269595953
0.2979398146270038,0.10104962067017118
0.2869385907041415,0.09847846354371426
0.3111124546427268,0.10164047908968465
0.2976754206085153,0.10126940602663091
0.2986409019192212,0.09985035843666037
0.31108910881917856,0.10100496074953033
0.31070192223041404,0.10203972211522885
0.3166194262774723,0.10345083472133551
0.29286607065178755,0.09977878927669592
0.2911940020073838,0.09830780859296757
0.2846225449804999,0.09735533425528645
0.3006547642433595,0.10021037555026982
0.3023372409601395,0.10071315747730535
0.31064122809335054,0.10150498776050479
0.27687399256455514,0.09716924044931777
0.30997890618164364,0.1027533653936357
0.2913199355177599,0.09956388695691804
0.31177009276861717,0.10100212259490711
0.3099512406378473,0.10217723922442348
0.27615541308999975,0.09777865853263502
0.2775995674828018,0.09655726461549918
0.30999485000886506,0.10254994778663727
0.2761880591542746,0.09775081604530117
0.3207062862399209,0.1042126880867526
0.3356952706533406,0.10468248340458391
0.27661322380038894,0.09739004712570634
0.31172096471800803,0.10039765771302135
0.27746916277189504,0.09666703490085721
0.3106552013334348,0.10208643888361404
0.3167495158766268,0.10223554816316513
0.3246331403093324,0.10398585077311853
0.2766282029782163,0.09737736610809455
0.2987569626285075,0.09982739780232383
0.3001379620149216,0.10157503837664389
0.2780080677320771,0.09621422347204943
0.31077003070045295,0.10137920915955648
0.2786271724448648,0.09569633408032757
0.29132198014235244,0.09857900296230508
0.27638300466548016,0.09758532517001792
0.31114341449362265,0.10161006634688968
0.2954548714964919,0.09859496451000752
0.27711852389633546,0.09696268043772321
0.27663985458010065,0.09736749028495587
0.31007267809596034,0.10199267047186945
0.31658694015315086,0.10331595781488526
0.2776252028327744,0.09653577454999018
0.3000167221360215,0.09965695435687805
0.2776244210875886,0.09653632620088744
0.29327653914450785,0.09831990804265564
0.3040651493964908,0.10037835289964134
0.30117762475311527,0.09959791495339115
0.3110516992528873,0.10110613504376942
0.2981284006353977,0.10060104031572197
0.27763312712862853,0.09652912025588131
0.27767267006059465,0.09649580867172601
0.3099412144082307,0.10218777692040787
0.2768401063901611,0.09719791923143167
0.2759562250435383,0.09794802078743671
0.2761495178165394,0.09778355614796054
0.3115397657648988,0.10063607161250164
0.27576449971434536,0.0981113227270607
0.2765361082418462,0.09745545102571106
0.32700776968038964,0.10414990090093998
0.29697284428139387,0.10016898054995635
0.296922354585469,0.100535602412208
0.276899938963673,0.0971473410232773
0.27738955623561623,0.0967340684052928
0.2961663110368426,0.10048252992750965
